draw_date,number1,number2,number3,number4,number5,powerball,Multiplier
1/29/22,2,15,38,54,65,11,4
1/31/22,10,15,51,61,69,14,3
2/2/22,18,29,33,62,63,15,3
2/5/22,5,16,27,39,61,24,2
2/7/22,5,15,38,47,65,10,3
2/9/22,2,17,33,51,63,26,2
2/12/22,8,10,21,41,62,7,3
2/14/22,16,25,27,49,55,17,3
2/16/22,22,30,40,42,48,16,2
2/19/22,3,10,15,33,42,11,2
2/21/22,2,36,37,45,69,3,2
2/23/22,6,17,21,35,64,18,2
2/26/22,15,32,36,48,64,19,3
2/28/22,7,21,39,47,55,19,2
3/2/22,19,37,48,61,63,12,2
3/5/22,8,23,37,52,63,13,2
3/7/22,10,43,55,59,67,2,3
3/9/22,13,22,34,51,67,10,2
3/14/22,21,28,32,44,49,6,3
3/16/22,3,28,34,35,58,17,2
3/19/22,8,9,18,48,52,6,2
3/21/22,1,15,26,63,65,16,2
3/23/22,31,32,37,38,48,24,2
3/26/22,2,10,50,59,61,6,3
3/28/22,11,18,39,58,62,3,2
3/30/22,3,7,21,31,37,11,3
4/2/22,6,28,47,58,59,18,2
4/4/22,2,32,39,46,69,6,2
4/6/22,6,42,45,47,64,18,3
4/11/22,5,7,24,31,34,4,2
4/13/22,14,16,41,63,68,26,2
4/16/22,15,21,32,62,65,26,5
4/18/22,8,33,55,59,62,18,2
4/20/22,20,30,45,55,56,14,2
4/23/22,10,39,47,49,56,8,3
4/25/22,12,18,20,39,61,10,2
4/27/22,11,36,61,62,68,4,2
4/30/22,14,21,37,44,63,1,3
5/2/22,18,27,33,39,44,8,5
5/4/22,37,39,55,63,69,23,2
5/7/22,4,5,6,28,67,10,2
5/9/22,18,30,35,52,56,5,2
5/11/22,5,7,61,63,69,18,2
5/14/22,6,40,41,45,52,9,3
5/16/22,7,15,22,36,64,13,2
5/18/22,40,41,58,64,65,17,3
5/21/22,14,15,25,52,58,11,2
5/23/22,1,33,37,39,42,26,2
5/25/22,19,28,39,42,57,17,3
5/28/22,2,39,50,61,66,15,2
5/30/22,27,28,51,68,69,22,2
6/1/22,11,41,56,57,63,2,2
6/4/22,14,16,36,52,60,16,3
6/6/22,2,10,35,44,46,4,2
6/8/22,22,39,43,62,64,7,4
6/11/22,18,20,26,53,69,5,2
6/13/22,2,27,42,44,51,25,2
6/15/22,19,28,41,42,51,7,2
6/18/22,10,19,40,45,58,25,2
6/20/22,3,44,61,63,69,13,2
6/22/22,6,10,31,48,56,12,3
6/25/22,6,12,20,27,32,4,3
6/27/22,11,13,18,30,37,16,3
6/29/22,8,40,49,58,63,14,3
7/2/22,9,10,37,59,62,26,3
7/4/22,15,16,24,31,56,4,2
7/6/22,32,36,49,62,69,13,2
7/9/22,14,22,42,46,52,24,3
7/11/22,4,26,34,37,52,9,2
7/13/22,22,23,36,47,63,2,2
7/16/22,3,18,23,32,57,21,2
7/18/22,14,34,36,50,58,5,3
7/20/22,10,20,23,49,65,22,3
7/23/22,39,41,54,59,62,12,3
7/25/22,25,37,38,39,65,5,2
7/27/22,1,25,44,55,57,26,2
7/30/22,4,17,57,58,68,12,3
8/1/22,15,21,31,36,65,16,3
8/3/22,9,21,56,57,66,11,2
8/6/22,8,15,46,56,68,3,2
8/8/22,32,45,51,57,58,12,2
8/10/22,29,44,59,61,68,19,2
8/13/22,19,24,35,43,62,2,10
8/15/22,20,24,47,50,63,5,2
8/17/22,23,28,41,50,55,24,2
8/20/22,5,9,11,16,66,7,2
8/22/22,12,27,34,55,67,9,2
8/24/22,6,24,35,37,44,22,4
8/27/22,2,18,56,60,65,14,3
8/29/22,13,36,43,61,69,18,3
8/31/22,7,8,19,24,28,1,2
9/3/22,18,27,49,65,69,9,2
9/5/22,4,7,32,55,64,25,2
9/7/22,3,16,30,33,36,20,3
9/10/22,38,42,56,68,69,4,2
9/12/22,6,14,16,34,66,25,3
9/14/22,9,10,20,22,52,25,3
9/17/22,5,25,36,51,61,1,3
9/19/22,7,15,36,46,67,7,2
9/21/22,6,33,34,45,54,7,2
9/24/22,3,9,21,24,29,14,2
9/26/22,13,20,31,33,59,20,3
9/28/22,6,10,24,33,67,11,3
10/1/22,8,21,22,65,69,26,2
10/3/22,2,16,22,55,63,22,4
10/5/22,26,30,33,37,62,6,2
10/8/22,13,43,53,60,68,5,2
10/10/22,3,6,11,17,22,11,2
10/12/22,14,30,41,42,59,6,5
10/15/22,32,37,40,58,62,15,5
10/17/22,19,30,36,46,60,25,3
10/19/22,6,8,15,27,42,10,3
10/22/22,19,25,48,55,60,18,2
10/24/22,18,23,35,45,54,16,4
10/26/22,19,36,37,46,56,24,2
10/29/22,19,31,40,46,57,23,3
10/31/22,13,19,36,39,59,13,3
11/2/22,2,11,22,35,60,23,2
11/5/22,28,45,53,56,69,20,3
11/9/22,7,14,24,30,56,7,2
11/12/22,16,20,44,57,58,6,4
11/14/22,19,35,53,54,67,21,2
11/16/22,28,34,51,53,56,11,2
11/19/22,7,28,62,63,64,10,3
11/21/22,1,6,40,51,67,2,2
11/23/22,1,2,31,39,66,25,2
11/26/22,15,30,47,50,51,3,10
11/28/22,29,30,32,48,50,20,2
11/30/22,4,19,24,47,66,10,2
12/3/22,6,13,33,36,37,7,4
12/5/22,35,45,47,54,55,14,2
12/7/22,6,28,44,59,61,21,2
12/10/22,9,23,47,49,68,19,2
12/12/22,16,31,50,55,61,9,4
12/14/22,36,51,59,66,68,25,10
12/17/22,33,56,64,66,68,12,2
12/19/22,7,37,55,65,67,12,5
12/21/22,12,15,24,34,59,14,2
12/24/22,17,37,46,54,67,8,3
12/26/22,17,41,47,60,61,17,3
12/28/22,26,32,38,45,56,1,2
12/31/22,18,37,44,50,64,11,3
1/2/23,7,9,12,31,62,22,2
1/4/23,12,32,56,67,68,26,3
1/7/23,35,36,44,45,67,14,3
1/9/23,18,43,48,60,69,14,3
1/11/23,4,8,46,47,48,5,3
1/14/23,24,26,39,47,57,23,2
1/16/23,4,14,33,39,61,3,3
1/18/23,6,15,22,42,47,26,3
1/21/23,5,14,19,46,64,22,4
1/23/23,12,31,47,58,60,23,3
1/25/23,9,17,20,38,40,18,2
1/28/23,2,18,23,27,47,15,4
1/30/23,1,4,12,36,49,5,2
2/1/23,31,43,58,59,66,9,2
2/4/23,2,8,15,19,58,10,2
2/6/23,5,11,22,23,69,7,2
2/8/23,52,58,59,64,66,9,2
2/11/23,10,23,30,54,65,11,4
2/13/23,17,26,37,61,65,2,2
2/15/23,31,32,54,60,63,12,4
2/18/23,8,21,31,32,37,23,4
2/20/23,3,17,26,38,54,15,3
2/22/23,11,19,39,44,65,7,2
2/25/23,11,24,58,66,67,26,3
2/27/23,16,28,49,51,55,23,2
3/1/23,2,9,28,36,53,4,2
3/4/23,10,16,18,40,66,16,3
3/6/23,2,13,29,58,69,4,3
3/8/23,26,27,43,61,69,4,3
3/11/23,11,20,33,43,58,24,2
3/13/23,3,10,24,46,63,4,2
3/15/23,16,18,33,37,50,8,2
3/18/23,14,20,30,54,69,11,2
3/20/23,1,27,32,47,67,14,2
3/22/23,27,28,37,50,57,5,2
3/25/23,15,17,18,47,57,19,2
3/27/23,19,26,36,43,58,14,3
3/29/23,4,9,24,46,66,7,3
4/1/23,11,19,21,29,52,17,4
4/3/23,16,30,31,54,68,1,2
4/5/23,3,5,9,42,52,11,2
4/8/23,11,22,24,51,60,18,3
4/10/23,9,10,36,46,52,14,2
4/12/23,9,36,41,44,59,4,2
4/15/23,1,33,34,56,59,18,3
4/17/23,23,25,35,63,64,25,3
4/19/23,4,11,21,38,64,11,3
4/22/23,17,36,47,63,68,25,2
4/24/23,19,21,55,66,68,3,2
4/26/23,2,15,30,35,49,6,2
4/29/23,16,53,54,57,65,8,2
5/1/23,3,38,55,61,66,1,3
5/3/23,21,26,30,45,47,23,3
5/6/23,31,39,47,51,53,6,2
5/8/23,15,20,33,36,43,12,2
5/10/23,21,24,33,55,69,3,10
5/13/23,3,15,20,23,46,11,2
5/15/23,1,26,28,55,58,25,2
5/17/23,18,34,37,45,51,14,2
5/20/23,17,23,32,38,63,23,2
5/22/23,9,38,48,52,68,25,4
5/24/23,12,21,44,50,58,26,3
5/27/23,24,38,39,48,56,4,2
5/29/23,21,33,35,62,64,24,2
5/31/23,2,4,54,61,62,14,3
6/3/23,15,45,64,67,68,18,2
6/5/23,2,31,45,46,49,20,2
6/7/23,16,21,29,53,66,2,5
6/10/23,21,32,42,46,50,4,3
6/12/23,2,3,16,23,68,7,2
6/14/23,3,20,36,42,64,4,2
6/17/23,2,12,45,61,64,26,2
6/19/23,36,39,52,57,69,1,3
6/21/23,5,11,33,35,63,14,2
6/24/23,2,38,44,50,62,19,3
6/26/23,6,28,39,43,54,12,4
6/28/23,19,25,34,57,68,4,5
7/1/23,4,17,35,49,61,8,2
7/3/23,15,26,31,38,61,3,3
7/5/23,17,24,48,62,68,23,2
7/8/23,7,23,24,32,43,18,2
7/10/23,2,24,34,53,58,13,2
7/12/23,23,35,45,66,67,20,3
7/15/23,2,9,43,55,57,18,2
7/17/23,5,8,9,17,41,21,4
7/19/23,7,10,11,13,24,24,2
7/22/23,25,27,36,37,63,7,2
7/24/23,3,4,12,28,49,25,2
7/26/23,3,16,40,48,60,14,2
7/29/23,10,25,27,34,38,2,3
7/31/23,2,11,48,58,65,13,2
8/2/23,23,24,33,51,64,5,2
8/5/23,18,42,44,62,65,23,2
8/7/23,6,13,20,35,54,22,2
8/9/23,10,15,21,67,69,3,2
8/12/23,19,21,37,50,65,26,2
8/14/23,32,34,37,39,47,3,2
8/16/23,9,11,17,19,55,1,2
8/19/23,1,25,27,38,62,13,2
8/21/23,3,4,12,22,28,16,2
8/23/23,25,30,32,33,55,20,2
8/26/23,20,22,26,28,63,5,3
8/28/23,4,6,25,55,68,26,2
8/30/23,4,13,35,61,69,4,2
9/2/23,25,38,42,66,67,19,4
9/4/23,1,26,32,46,51,13,3
9/6/23,9,14,20,23,63,1,3
9/9/23,11,19,29,63,68,25,2
9/11/23,9,25,27,53,66,5,2
9/13/23,22,30,37,44,45,18,3
9/16/23,8,11,19,24,46,5,2
9/18/23,2,21,26,40,42,9,3
9/20/23,16,27,59,62,63,23,3
9/23/23,1,12,20,33,66,21,2
9/25/23,10,12,22,36,50,4,2
9/27/23,1,7,46,47,63,7,3
9/30/23,19,30,37,44,46,22,2
10/2/23,12,26,27,43,47,5,2
10/4/23,9,35,54,63,64,1,2
10/7/23,47,54,57,60,65,19,3
10/9/23,16,34,46,55,67,14,3
10/11/23,22,24,40,52,64,10,2
10/14/23,14,16,42,48,64,14,2
10/16/23,2,27,31,44,64,18,3
10/18/23,1,4,13,35,58,24,2
10/21/23,6,15,24,67,68,11,2
10/23/23,18,21,25,46,64,21,5
10/25/23,25,27,41,53,68,2,2
10/28/23,14,24,50,59,64,2,2
10/30/23,19,22,34,66,69,5,3
11/1/23,22,26,39,47,63,12,3
11/4/23,1,28,30,34,52,6,2
11/6/23,12,25,40,59,61,26,2
11/8/23,14,21,33,39,62,20,2
11/11/23,1,12,14,24,57,7,4
11/13/23,24,33,35,37,42,21,2
11/15/23,3,4,51,53,60,6,3
11/18/23,34,50,51,61,67,20,2
11/20/23,19,26,30,39,63,13,2
11/22/23,20,24,33,39,42,21,2
11/25/23,27,33,63,66,68,9,2
11/27/23,2,21,38,61,66,12,2
11/29/23,6,47,50,61,68,4,2
12/2/23,28,35,41,47,60,3,2
12/4/23,18,19,27,28,45,9,3
12/6/23,2,12,37,56,65,21,3
12/9/23,5,25,26,40,60,1,2
12/11/23,1,24,27,31,62,20,3
12/13/23,3,8,41,56,64,18,2
12/16/23,3,9,10,20,62,25,3
12/18/23,5,8,19,34,39,26,3
12/20/23,27,35,41,56,60,16,2
12/23/23,9,14,17,18,53,6,3
12/25/23,5,12,20,24,29,4,2
12/27/23,4,11,38,51,68,5,3
12/30/23,10,11,26,27,34,7,4
1/1/24,12,21,42,44,49,1,3
1/3/24,30,31,38,48,68,8,10
1/6/24,4,31,34,38,61,13,2
1/8/24,7,17,28,40,45,2,3
1/10/24,25,40,43,48,50,11,2
1/13/24,13,31,33,51,58,15,2
1/15/24,13,30,35,49,59,4,3
1/17/24,18,22,43,61,65,2,4
1/20/24,16,31,34,47,65,10,3
1/22/24,24,25,43,52,63,21,2
1/24/24,1,5,32,50,64,8,4
1/27/24,7,38,65,66,68,21,2
1/29/24,39,41,43,49,64,4,2
1/31/24,15,18,19,41,43,14,2
2/3/24,9,11,27,59,66,19,3
2/5/24,1,2,27,30,67,9,5
2/7/24,12,21,62,67,69,17,3
2/10/24,27,28,34,37,44,8,2
2/12/24,17,36,43,53,67,14,2
2/14/24,1,4,45,47,67,18,2
2/17/24,6,28,59,62,69,21,3
2/19/24,4,23,45,50,53,17,3
2/21/24,4,27,33,41,42,14,2
2/24/24,3,8,40,53,58,3,3
2/26/24,24,29,42,51,54,16,3
2/28/24,16,26,29,38,50,6,2
3/2/24,3,18,27,36,53,12,2
3/4/24,36,42,50,52,67,26,2
3/6/24,6,19,28,44,60,10,2
3/9/24,30,36,49,52,63,16,5
3/11/24,1,3,7,16,66,5,5
3/13/24,21,29,54,59,62,4,2
3/16/24,12,23,44,57,61,5,2
3/18/24,10,17,20,39,44,16,3
3/20/24,13,22,27,54,66,9,2
3/23/24,6,23,25,34,51,3,2
3/25/24,7,11,19,53,68,23,2
3/27/24,37,46,57,60,66,8,2
3/30/24,12,13,33,50,52,23,3
4/1/24,19,24,40,42,56,23,2
4/3/24,11,38,41,62,65,15,3
4/6/24,22,27,44,52,69,9,3
4/8/24,6,21,23,39,54,23,2
4/10/24,6,7,12,24,36,15,2
4/13/24,7,33,40,43,69,10,5
4/15/24,7,16,41,56,61,23,3
4/17/24,24,29,44,47,54,2,2
4/20/24,4,35,41,44,58,25,3
4/22/24,12,16,33,39,52,1,2
4/24/24,2,20,22,26,47,21,4
4/27/24,9,30,53,55,62,23,3
4/29/24,11,38,47,67,69,14,2
5/1/24,1,11,19,21,68,15,2
5/4/24,14,20,23,53,69,4,2
5/6/24,7,23,24,56,60,25,2
5/8/24,7,41,43,44,51,5,2
5/11/24,3,6,39,49,67,21,2
5/13/24,5,14,29,38,66,1,2
5/15/24,19,42,45,55,69,6,2
5/18/24,19,36,37,42,59,19,2
5/20/24,1,7,48,64,68,5,2
5/22/24,5,16,18,26,67,4,3
5/25/24,6,33,35,36,64,24,3
5/27/24,9,30,39,49,59,21,5
5/29/24,17,34,56,60,61,9,2
6/1/24,28,38,52,54,68,8,2
6/3/24,19,29,35,36,45,16,2
6/5/24,8,44,45,51,69,12,3
6/8/24,8,38,52,54,64,15,3
6/10/24,3,10,33,58,59,9,2
6/12/24,19,30,31,61,62,21,2
6/15/24,4,36,48,54,56,2,3
6/17/24,30,48,53,58,66,9,2
6/19/24,4,27,44,50,64,7,3
6/22/24,4,5,15,32,62,21,2
6/24/24,5,6,36,53,69,8,2
6/26/24,4,9,36,47,56,7,5
6/29/24,26,51,54,61,69,25,3
7/1/24,5,9,32,39,55,9,2
7/3/24,2,26,33,55,57,22,2
7/6/24,5,32,35,39,49,21,2
7/8/24,20,22,31,33,45,1,3
7/10/24,7,11,12,27,46,26,3
7/13/24,9,55,59,66,69,21,2
7/15/24,9,31,39,40,45,23,3
7/17/24,24,27,32,47,66,26,2
7/20/24,18,25,31,40,57,4,3
7/22/24,31,36,56,58,69,20,2
7/24/24,16,42,59,63,68,13,2
7/27/24,3,31,37,40,64,17,3
7/29/24,11,27,30,33,44,16,3
7/31/24,23,34,37,50,58,7,2
8/3/24,13,33,40,60,61,20,3
8/5/24,29,42,44,51,54,12,2
8/7/24,6,19,35,47,57,9,3
8/10/24,9,24,33,64,69,9,2
8/12/24,9,22,57,67,68,14,3
8/14/24,8,9,23,29,62,13,2
8/17/24,12,31,43,45,46,22,5
8/19/24,1,2,15,23,28,10,2
8/21/24,27,31,33,38,67,3,2
8/24/24,5,15,21,24,43,17,3
8/26/24,2,4,23,68,69,15,3
8/28/24,5,33,47,50,64,20,2
8/31/24,4,34,35,38,69,19,2
9/2/24,8,42,46,48,53,22,3
9/4/24,7,10,21,33,59,20,3
9/7/24,14,34,37,55,63,20,2
9/9/24,1,16,21,47,60,5,3
9/11/24,10,12,55,65,67,3,3
9/14/24,29,34,38,48,56,16,2
9/16/24,8,9,11,27,31,17,5
9/18/24,1,11,22,47,68,7,4
9/21/24,17,19,21,37,45,14,2
9/23/24,15,21,25,37,45,19,3
9/25/24,2,26,45,46,52,21,2
9/28/24,3,11,13,24,39,22,3
9/30/24,9,11,30,43,69,20,2
10/2/24,1,2,21,37,43,21,3
10/5/24,2,12,46,52,65,3,2
10/7/24,18,30,31,52,63,22,2
10/9/24,25,32,43,53,66,10,3
10/12/24,5,14,20,41,57,6,3
10/14/24,14,18,33,64,67,14,2
10/16/24,4,30,39,44,60,11,2
10/19/24,7,16,19,45,64,25,3
10/21/24,1,25,57,62,64,15,2
10/23/24,2,15,27,29,39,20,2
10/26/24,8,12,40,45,51,15,2
10/28/24,21,27,32,48,67,17,2
10/30/24,13,22,29,43,58,22,3
11/2/24,10,45,48,58,61,2,3
11/4/24,6,18,33,48,53,21,10
11/6/24,12,17,37,58,62,4,2
11/9/24,11,24,50,56,66,16,2
11/11/24,3,21,24,34,46,9,3
11/13/24,9,20,26,43,58,9,2
11/16/24,21,22,25,32,38,16,5
11/18/24,27,31,41,52,69,26,3
11/20/24,16,30,60,62,64,25,3
11/23/24,12,13,34,44,67,8,3
11/25/24,5,35,45,60,63,12,2
11/27/24,1,6,7,13,40,5,5
11/30/24,4,24,29,39,63,25,4
12/2/24,3,9,26,61,67,13,2
12/4/24,1,23,25,28,61,13,2
12/7/24,1,31,43,55,57,22,2
12/9/24,35,37,40,45,51,24,2
12/11/24,13,44,50,52,54,20,2
12/14/24,12,17,23,52,67,1,2
12/16/24,9,30,33,57,61,17,2
12/18/24,6,15,18,33,49,7,2
12/21/24,1,12,17,21,58,1,3
12/23/24,22,42,44,57,64,18,2
12/25/24,15,26,27,30,35,3,3
12/28/24,6,31,51,54,55,12,2
12/30/24,9,19,33,38,39,1,3
1/1/25,6,12,28,35,66,26,3
1/4/25,26,32,43,54,56,24,2
1/6/25,17,34,46,66,67,14,2
1/8/25,1,20,36,38,43,24,2
1/11/25,3,6,32,37,65,4,3
1/13/25,4,6,16,39,66,9,2
1/15/25,8,41,52,53,58,7,3
1/18/25,14,31,35,64,69,23,2
1/20/25,15,16,32,47,54,6,3
1/22/25,5,6,27,40,49,5,2
1/25/25,8,15,17,53,66,14,3
1/27/25,2,40,47,53,55,20,2
1/29/25,8,12,31,33,38,18,3
2/1/25,23,29,32,49,61,8,2
2/3/25,12,37,47,54,60,17,3
2/5/25,19,27,30,50,62,14,3
2/8/25,23,44,57,60,62,9,2
2/10/25,2,17,18,29,43,3,3
2/12/25,21,32,36,45,49,18,2
2/15/25,3,16,45,54,56,12,2
2/17/25,4,44,47,52,57,9,4
2/19/25,6,21,28,49,60,20,2
2/22/25,7,18,22,50,65,15,2
2/24/25,10,11,34,59,68,14,3
2/26/25,28,48,55,60,62,20,2
3/1/25,2,23,36,44,49,25,3
3/3/25,18,20,50,52,56,20,2
3/5/25,24,28,40,63,65,20,3
3/8/25,2,4,16,23,63,13,3
3/10/25,17,40,47,50,55,6,2
3/12/25,11,13,28,51,58,1,2
3/15/25,12,28,33,36,54,5,3
3/17/25,11,18,23,38,60,9,2
3/19/25,8,11,21,49,59,15,2
3/22/25,6,7,25,46,57,12,3
3/24/25,6,23,35,36,47,12,2
3/26/25,5,20,29,39,53,6,3
3/29/25,7,11,21,53,61,2,3
3/31/25,12,41,44,52,64,25,2
4/2/25,5,17,41,64,69,1,2
4/5/25,4,23,30,46,62,2,4
4/7/25,20,23,48,59,66,4,2
4/9/25,4,29,37,55,67,10,4
4/12/25,16,22,44,45,53,19,2
4/14/25,3,20,30,52,62,1,3
4/16/25,20,24,42,43,49,19,3
4/19/25,7,25,37,39,63,1,3
4/21/25,4,33,45,46,51,25,3
4/23/25,15,44,63,66,69,20,2
4/26/25,1,12,14,18,69,2,3
4/28/25,26,43,51,56,60,24,4
4/30/25,1,2,3,57,59,9,2
5/3/25,10,21,23,35,65,24,2
5/5/25,16,34,40,45,66,19,2
5/7/25,14,15,30,40,59,20,3
5/10/25,5,20,28,39,42,13,2
5/12/25,15,16,41,48,60,21,3
5/14/25,4,10,24,29,53,4,3
5/17/25,7,34,40,42,52,15,2
5/19/25,13,14,37,50,60,11,2
5/21/25,9,29,31,34,43,2,2
5/24/25,12,18,28,48,52,5,3
5/26/25,13,47,52,64,67,25,2
5/28/25,23,27,32,35,59,11,2
5/31/25,1,29,37,56,68,13,2
6/2/25,1,7,44,57,61,21,3
6/4/25,5,17,23,35,45,24,10
6/7/25,31,36,43,48,62,25,2
6/9/25,30,33,40,43,52,25,4
6/11/25,13,25,29,37,53,3,2
6/14/25,4,6,9,23,59,25,3
6/16/25,17,21,23,27,52,19,5
6/18/25,23,29,50,64,67,11,2
6/21/25,3,16,32,52,62,24,3
6/23/25,5,25,42,44,65,20,3
6/25/25,2,12,37,51,61,22,3
6/28/25,4,35,43,52,62,12,2
6/30/25,13,28,44,52,55,6,4
7/2/25,7,19,21,54,63,21,2
7/5/25,1,28,34,50,58,8,2
7/7/25,33,35,58,61,69,25,5
7/9/25,5,9,25,28,69,5,2
7/12/25,8,16,24,33,54,18,2
7/14/25,8,12,45,46,63,24,2
7/16/25,4,21,43,48,49,22,2
7/19/25,28,48,51,61,69,20,3
7/21/25,8,11,28,33,42,2,2
7/23/25,2,18,19,25,35,25,3
7/26/25,8,31,57,65,67,23,3
7/28/25,7,35,36,43,62,3,3
7/30/25,4,15,35,50,64,8,4
8/2/25,6,18,34,35,36,2,2
8/4/25,8,9,19,31,38,21,2
8/6/25,15,27,43,45,53,9,2
8/9/25,7,14,23,24,60,14,2
8/11/25,6,16,33,40,62,2,2
